posting_text,label,has_whatsapp_apply,has_registration_fee,has_company_email,has_duration_mentioned,has_no_interview,has_earn_daily,text_length
"QA Testing Internship at TCS in Pune. Mode: On-site. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,227
"UI/UX Design Internship at Zoho in Bengaluru. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"Business Analytics Internship at Myntra in Chennai. Mode: On-site. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"Backend Development Internship at Deloitte India in Delhi. Mode: Hybrid. Duration 6 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,247
Work from home internship. Earn ₹2000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,0,1,0,1,1,0,104
Urgent hiring for interns. Guaranteed income of ₹500/day. Limited seats. Instant selection after payment.,0,1,1,0,0,0,1,105
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,1,104
"Business Analytics Internship at Razorpay in Pune. Mode: On-site. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,240
"Full Stack Development Internship at Accenture in Noida. Mode: On-site. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,246
"Mobile App Development Internship at Paytm in Noida. Mode: On-site. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,242
"Data Science Internship at Nykaa in Gurugram. Mode: Hybrid. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,234
"Full Stack Development Internship at Paytm in Hyderabad. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,244
"Business Analytics Internship at Nykaa in Noida. Mode: Hybrid. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Machine Learning Internship at Google India in Pune. Mode: Hybrid. Duration 6 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"Machine Learning Internship at Amazon India in Bengaluru. Mode: Hybrid. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,246
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,0,1,101
"Data Science Internship at HCLTech in Mumbai. Mode: Remote. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"Full Stack Development Internship at Tech Mahindra in Mumbai. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,249
"Business Analytics Internship at Accenture in Noida. Mode: Hybrid. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Backend Development Internship at Deloitte India in Bengaluru. Mode: On-site. Duration 4 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,252
Urgent hiring for interns. Guaranteed income of ₹1500/day. Limited seats. Instant selection after payment.,0,0,1,0,1,1,1,106
"Software Development Internship at HCLTech in Chennai. Mode: On-site. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"Data Science Internship at TCS in Mumbai. Mode: Hybrid. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,230
Urgent hiring for interns. Guaranteed income of ₹5000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,1,1,106
"Frontend Development Internship at Paytm in Pune. Mode: Remote. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Data Science Internship at Deloitte India in Hyderabad. Mode: Remote. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,0,0,101
"QA Testing Internship at TCS in Mumbai. Mode: Hybrid. Duration 4 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,228
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,1,0,0,103
"UI/UX Design Internship at L&T in Noida. Mode: Hybrid. Duration 2 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,229
"Backend Development Internship at Flipkart in Bengaluru. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,246
"UI/UX Design Internship at Zoho in Mumbai. Mode: On-site. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,232
"Cloud Computing Internship at TCS in Hyderabad. Mode: On-site. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Machine Learning Internship at Zoho in Bengaluru. Mode: On-site. Duration 2 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Business Analytics Internship at Zoho in Chennai. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Cloud Computing Internship at Accenture in Mumbai. Mode: On-site. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
Work from home internship. Earn ₹2000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,0,0,104
"Backend Development Internship at HCLTech in Noida. Mode: Remote. Duration 6 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"DevOps Internship at Zoho in Noida. Mode: On-site. Duration 2 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,225
"Cybersecurity Internship at Nykaa in Bengaluru. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"UI/UX Design Internship at Tech Mahindra in Bengaluru. Mode: Hybrid. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"Embedded Systems Internship at TCS in Noida. Mode: On-site. Duration 6 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"Cloud Computing Internship at Deloitte India in Mumbai. Mode: On-site. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
"Embedded Systems Internship at Microsoft India in Noida. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,0,0,0,1,1,103
"Embedded Systems Internship at Nykaa in Gurugram. Mode: Remote. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Digital Marketing Internship at Google India in Gurugram. Mode: Remote. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,246
"Machine Learning Internship at Infosys in Mumbai. Mode: Hybrid. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Frontend Development Internship at Deloitte India in Pune. Mode: On-site. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
"Software Development Internship at L&T in Hyderabad. Mode: Remote. Duration 4 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
Work from home internship. Earn ₹1000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,0,1,0,104
"UI/UX Design Internship at Nykaa in Delhi. Mode: On-site. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,232
"Data Science Internship at Deloitte India in Hyderabad. Mode: Hybrid. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"Cloud Computing Internship at Freshworks in Pune. Mode: Remote. Duration 6 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Business Analytics Internship at Wipro in Chennai. Mode: On-site. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"UI/UX Design Internship at Microsoft India in Delhi. Mode: Remote. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,240
"DevOps Internship at HCLTech in Delhi. Mode: On-site. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,228
"Embedded Systems Internship at Google India in Delhi. Mode: Remote. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"Frontend Development Internship at L&T in Delhi. Mode: Hybrid. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Frontend Development Internship at Zoho in Gurugram. Mode: Hybrid. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,241
"UI/UX Design Internship at Amazon India in Pune. Mode: On-site. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Business Analytics Internship at Google India in Pune. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,244
"QA Testing Internship at Nykaa in Mumbai. Mode: Remote. Duration 6 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,229
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,0,0,1,0,0,101
Work from home internship. Earn ₹3000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,0,104
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,1,1,104
"Digital Marketing Internship at Google India in Noida. Mode: Remote. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,243
"Embedded Systems Internship at Freshworks in Gurugram. Mode: Hybrid. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,242
"Mobile App Development Internship at Tech Mahindra in Pune. Mode: Remote. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
"Software Development Internship at Accenture in Noida. Mode: Hybrid. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"Machine Learning Internship at CRED in Hyderabad. Mode: On-site. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,0,0,0,1,1,103
"DevOps Internship at Razorpay in Gurugram. Mode: Remote. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,230
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,1,1,101
"Business Analytics Internship at Freshworks in Gurugram. Mode: Remote. Duration 4 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
"Business Analytics Internship at Flipkart in Hyderabad. Mode: On-site. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,245
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,1,1,0,103
Urgent hiring for interns. Guaranteed income of ₹1000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,0,1,106
"DevOps Internship at Infosys in Noida. Mode: Remote. Duration 3 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,227
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,0,0,0,1,1,101
"QA Testing Internship at Wipro in Gurugram. Mode: Remote. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,232
"Data Science Internship at Flipkart in Chennai. Mode: Hybrid. Duration 3 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Frontend Development Internship at Amazon India in Chennai. Mode: Hybrid. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
"Data Science Internship at Flipkart in Chennai. Mode: On-site. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
Work from home internship. Earn ₹1500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,1,0,0,104
"QA Testing Internship at Razorpay in Delhi. Mode: Hybrid. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,231
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,1,1,0,103
"Software Development Internship at Microsoft India in Bengaluru. Mode: Remote. Duration 3 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,253
Work from home internship. Earn ₹500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,0,1,0,0,0,1,103
Urgent hiring for interns. Guaranteed income of ₹1000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,1,0,106
Work from home internship. Earn ₹1000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,0,1,0,1,0,1,104
"Full Stack Development Internship at Razorpay in Hyderabad. Mode: Remote. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,247
"Mobile App Development Internship at L&T in Gurugram. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"Full Stack Development Internship at Google India in Delhi. Mode: On-site. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,249
Work from home internship. Earn ₹1000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,1,104
"Backend Development Internship at L&T in Bengaluru. Mode: Remote. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"UI/UX Design Internship at CRED in Chennai. Mode: On-site. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,233
Urgent hiring for interns. Guaranteed income of ₹2000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,0,1,106
"Digital Marketing Internship at Zoho in Bengaluru. Mode: On-site. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
Work from home internship. Earn ₹500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,0,1,1,103
"Business Analytics Internship at Wipro in Hyderabad. Mode: On-site. Duration 4 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,242
"Digital Marketing Internship at Nykaa in Delhi. Mode: Hybrid. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,235
"Frontend Development Internship at Infosys in Pune. Mode: On-site. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"DevOps Internship at Deloitte India in Gurugram. Mode: Hybrid. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Embedded Systems Internship at Tech Mahindra in Bengaluru. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,247
Work from home internship. Earn ₹1000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,0,1,104
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,0,1,101
"DevOps Internship at Myntra in Gurugram. Mode: Hybrid. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,229
Urgent hiring for interns. Guaranteed income of ₹1500/day. Limited seats. Instant selection after payment.,0,1,1,0,0,1,0,106
"Digital Marketing Internship at Google India in Mumbai. Mode: On-site. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,0,1,1,103
"Frontend Development Internship at TCS in Gurugram. Mode: On-site. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"DevOps Internship at L&T in Chennai. Mode: On-site. Duration 4 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,226
"Frontend Development Internship at Deloitte India in Bengaluru. Mode: Remote. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,251
"Backend Development Internship at Google India in Noida. Mode: On-site. Duration 4 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,246
"Machine Learning Internship at Razorpay in Chennai. Mode: Remote. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Data Science Internship at Google India in Chennai. Mode: Remote. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,240
"Software Development Internship at Myntra in Hyderabad. Mode: Hybrid. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
"Full Stack Development Internship at CRED in Mumbai. Mode: Remote. Duration 6 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,241
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,1,0,1,1,1,101
"DevOps Internship at Google India in Mumbai. Mode: Remote. Duration 2 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,233
Work from home internship. Earn ₹500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,1,1,1,103
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,1,1,0,101
Urgent hiring for interns. Guaranteed income of ₹500/day. Limited seats. Instant selection after payment.,0,0,0,0,0,0,0,105
"Cybersecurity Internship at Nykaa in Gurugram. Mode: Remote. Duration 6 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,235
Work from home internship. Earn ₹1500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,1,1,104
